Budget — Beweging & Sport (TCO-overzicht),,,
,,,
INVESTERING,,,
Post,Bedrag (€),,Toelichting
Thuistraining materiaal (8 items),182,,Eenmalige aankoopkost
Totaal investering,182,,
,,,
MAANDELIJKSE KOST — STANDAARD (thuis),,,
Kostenpost,Maandkost (€),Jaarkost (€),Toelichting
Afschrijving materiaal (thuis),3.83,45.96,Op basis van levensduur per item
Sportkleding was (gedeeld met kleding),0.5,6,Extra wasbeurt per maand
TOTAAL / MAAND (thuis),4.33,51.96,
,,,
UITZONDERING: Basic-Fit lidmaatschap,,,
Kostenpost,Maandkost (€),Jaarkost (€),Toelichting
Basic-Fit (single club),22.99,275.88,Vervangt thuismodel — uitzondering
,,,
TIJDSBELASTING,,,
Activiteit,Tijd/maand (min),Tijd/jaar (u),
Krachtsessies (3× 40 min),120,24,
Wandelingen dagelijks (30 min avg),210,42,
Stretching + herstel,40,8,
TOTAAL,370,74,
