Budget — Eten (TCO-overzicht),,,
,,,
INVESTERING KEUKEN,,,
Post,Bedrag (€),,Toelichting
Keukenmateriaal volledig (18 items),306,,Eenmalige aankoopkost
Totaal investering keuken,306,,
,,,
MAANDELIJKSE KOST,,,
Kostenpost,Maandkost (€),Jaarkost (€),Toelichting
"Voeding (norm, excl. koffie)",163,1956,Zie tabblad Voedingsbudget
Keukenonderhoud verbruiksgoederen,3.58,42.96,"Afwasmiddel, reiniger, etc."
Afschrijving keukenmateriaal,3.9,46.8,Op basis van levensduur per item
TOTAAL / MAAND,170.48,2045.76,
,,,
TIJDSBELASTING,,,
Activiteit,Tijd/maand (min),Tijd/jaar (u),
Weekinkopen + opbergen,90,18,
Maandinkoop droogwaren (bulk),30,6,
"Koken (dagelijks, gemiddeld)",300,60,
Afwas / keuken opruimen,200,40,
Maaltijdprep (batchen),60,12,
TOTAAL,680,136,
