Onderhoudsblad — Keuken & Eetsysteem,,,,,
,,,,,
Item / Groep,Taak,Frequentie,Duur (min),Materialen,Jaarkosten (€)
"Borden, bestek, glazen",Afwas met warm water + afwasmiddel,Dagelijks,10,"Afwasmiddel, spons",20
Pan (keramisch),"Koud laten afkoelen, afwassen met zacht spons",Na elk gebruik,5,Zacht afwasmiddel,5
Pot RVS,"Afwassen, droogwrijven",Na elk gebruik,5,Afwasmiddel,0
Snijplank,Afwassen 60° (vaatwasser),2× / week,3,Afwasmiddel,0
Keukenweegschaal,Afnemen met vochtige doek,Wekelijks,2,-,0
Inductieplaat,Afnemen met vochtige doek,Wekelijks,5,Keukenreiniger,8
Waterkoker,Ontkalken,1× / 3 maanden,10,Citroenzuur,4
Snijplank vervanging,Vervangen bij inkervingen,1× / 5 jaar,-,Nieuwe plank,2
Keuken algemeen,Grondig reinigen kast + werkblad,Maandelijks,20,Ontvetter,12
TOTAAL JAARKOSTEN KEUKENONDERHOUD,,,,,51
