Voedingsbudget — Maandelijks (1 persoon),,,,,
,,,,,
Categorie,Qty / maand,Eenheid,Prijs/eenheid (€),Maandkost (€),Toelichting
Havermout (droog),1.5,kg,1.8,2.7,Ontbijt basis
Bevroren bessen mix,2,kg,4.5,9,Ontbijt
Bananen,8,stuk,0.25,2,Ontbijt / tussendoortje
Gemengde noten (ongezouten),0.5,kg,9,4.5,Ontbijt + snack
Volkoren brood,4,brood,2.5,10,Lunch
Hummus (pot 400g),4,pot,2.2,8.8,Lunch
"Rauwkost (wortelen, komkommer, paprika)",2,kg,2,4,Lunch
Rode linzen (droog),1,kg,2.5,2.5,Diner D1
Zwarte bonen (blik),4,blik,0.9,3.6,Diner D2
Zoete aardappelen,1.5,kg,2,3,Diner D2
Kikkererwten (blik),4,blik,0.9,3.6,Diner D3
Couscous (droog),0.5,kg,2,1,Diner D3
Tempeh,4,blok 200g,2.5,10,Diner D4
Volkoren noedels,0.5,kg,2,1,Diner D4
Eieren,12,stuk,0.28,3.36,Diner D5 + ontbijt
Bruine rijst (droog),1,kg,2.2,2.2,Diner D1
Gemengde groenten (vers),3,kg,2.5,7.5,Diner basis
Spinazie (diepvries),1,kg,3,3,Diner D1
Broccoli (vers/diepvries),1,kg,2,2,Diner D2
Olijfolie extra vergine,0.5,L,8,4,Kookvet
Tomatenpuree (blik),4,blik 400g,0.8,3.2,Basis sausen
Kruiden en specerijen (mix),1,maand,5,5,Vaste basis
Wilde zalm / makreel (blik),4,blik,2.2,8.8,Omega-3 wekelijks
D3 + B12 supplement,1,maand,8,8,Micronutriënten
Koffie (bonen),0.25,kg,14,3.5,Optioneel — niet meegerekend als norm
TOTAAL VOEDING / MAAND (excl. koffie),,,,112.76,
