Budget — Hygiëne (TCO-overzicht),,,
,,,
INVESTERING,,,
Post,Bedrag (€),,Toelichting
Hygiënemateriaal (11 items),234,,Eenmalige aankoopkost
Totaal investering,234,,
,,,
MAANDELIJKSE KOST,,,
Kostenpost,Maandkost (€),Jaarkost (€),Toelichting
Afschrijving materiaal,4.12,49.44,Op basis van levensduur per item
Verbruiksgoederen (norm),23.1,277.2,Excl. optionele items
Kapperbezoek,10,120,€60 per 6 weken = €120/jaar
TOTAAL / MAAND,37.22,446.64,
,,,
TIJDSBELASTING,,,
Activiteit,Tijd/maand (min),Tijd/jaar (u),
Ochtend routine (dagelijks),450,90,
Avond routine (dagelijks),150,30,
Scheren (3-4×/week),120,24,
"Overig (nagels, kappers prep)",30,6,
TOTAAL,750,150,
