Inventaris — Hygiëne,,,,,,,
,,,,,,,
,,,,,,,
Item,Specificatie,Merk / Model (standaard),Qty,Prijs/stuk (€),Totaal (€),Levensduur,Afschr/mnd (€)
Elektrische tandenborstel,"Sonische technologie, USB laadbaar",Oclean X Pro,1,55,55,5 jaar,0.92
Opzetborstels (vervanging),Compatibel Oclean,Oclean standaard,1,16,16,0 jaar,2.67
Veiligheidsscheermes (DE),"Gesloten kam, massief messing",Merkur 34C,1,45,45,20 jaar,0.19
Scheermeshouder / standaard,"Chroom, wandmontage",Generiek RVS,1,8,8,10 jaar,0.07
Handdoek groot (lichaam),"500 g/m², 70×140 cm, wit",IKEA Njutning,2,12,24,4 jaar,0.5
Handdoek klein (gezicht/handen),"500 g/m², 40×70 cm",IKEA Njutning,2,6,12,3 jaar,0.33
Nagelset (knipper + vijl),"RVS, compact etui",Zwilling,1,18,18,10 jaar,0.15
Scheerspiegel,"Muurmontage, x5 vergrotend",Generiek,1,15,15,10 jaar,0.12
Douchegel dispenser,"Wandmontage, navulbaar, 300ml",Generiek,1,12,12,5 jaar,0.2
Haarborstel / kam,Anti-statisch,Tangle Teezer compact,1,12,12,3 jaar,0.33
Wahl thuisknipper (uitzondering),Volledig set + opzetkammen,Wahl Colour Pro,1,35,35,10 jaar,0.29
TOTAAL,,,,,252,,5.77
