Onderhoudsblad — Hygiëne,,,,,
,,,,,
Item / Routine,Taak,Frequentie,Duur (min),Materialen,Jaarkosten (€)
Ochtend routine,Douche + tanden + gezicht + deodorant,Dagelijks,15,"Zeep, tandpasta, SPF50",0
Avond routine,Tanden + huidreiniging,Dagelijks,5,"Tandpasta, make-upremover",0
Scheren,Nat scheren met DE-mes,3-4× / week,8,"Scheercrème, mesje",0
Nagels knippen,Vingers + tenen,2× / maand,10,Nagelset,0
Kapperbezoek,Knipbeurt (norm),1× / 6 weken,45,Kosten in budget,120
Elektrische tandenborstel,Opzetborstel vervangen,1× / 3 maanden,2,Opzetborstel,32
Handdoeken wassen,Was 60°,Wekelijks,10,Wasmiddel,20
Douche + wastafel reinigen,"Kalkaanslag, schimmelpreventie",Wekelijks,10,Kalk/schimmelreiniger,15
Scheermeshouder + spiegel,Reinigen met azijn,Maandelijks,5,Wittewijnazijn,3
TOTAAL JAARKOSTEN,,,,,190
