Verbruiksgoederen — Hygiëne (maandelijks),,,,,
,,,,,
Item,Eenheid,Qty / maand,Prijs/eenheid (€),Maandkost (€),Toelichting
Marseille blokzeep (lichaam + handen),blok 100g,1.5,2,3,Douche + afwas handen
Shampoobar of co-wash,blok 60g,0.5,6,3,"Haar, 1× per 2-3 dagen"
DE scheermesjes (Astra Superior),blok 5 stuks,1,1.2,1.2,1 mes per week
Scheercrème / scheerzeep,stuk 100g,0.33,7.5,2.48,Elke 3 maanden 1 stuk
Tandpasta fluor,tube 75ml,0.5,2.5,1.25,1 tube per 2 maanden
Interdentaalborstel (ISO 1-2),pak 8st,1,2.8,2.8,Dagelijks gebruik
Tandfloss,rol 50m,0.33,2.2,0.73,1 rol per 3 maanden
SPF50 dagcrème gezicht,tube 50ml,0.5,12,6,La Roche-Posay Anthelios / Altijd
Kristaldeodorant (aluin),stuk 120g,0.08,8,0.64,1 stuk per jaar
Lipverzorging SPF,stick,0.17,3,0.51,1 stick per 6 maanden
Wattenstaafjes (herbruikbaar),set — jaarlijks,0.08,10,0.8,LastSwab of equiv.
D-panthenol bodylotion (droge huid),fles 200ml,0.25,8,2,Optioneel bij droge huid
TOTAAL (excl. optionele items),,,,22.41,
