Budget — Kleding (TCO-overzicht),,,
,,,
INVESTERING,,,
Post,Bedrag (€),Toelichting,
Totale garderobe (13 items),955,Eenmalige aankoopkost,
Wisselgarderobe buffer (10%),96,Reserve voor onverwachte vervanging,
Totaal investering,1051,,
,,,
MAANDELIJKSE KOST,,,
Kostenpost,Maandkost (€),Jaarkost (€),Toelichting
Afschrijving garderobe,19.13,229.56,Op basis van levensduur per item
Verbruiksgoederen (was/onderhoud),6.42,77.04,"Wasmiddel, sprays, vlekken"
Herstellingen (gemiddeld),2,24,"Naad, knoop, zool — geschat"
TOTAAL / MAAND,27.55,330.6,
,,,
TIJDSBELASTING,,,
Activiteit,Tijd/maand (min),Tijd/jaar (u),
Wassen + drogen + ophangen,80,16,
Seizoenscheck + herstelling,10,2,
Schoen- en jackonderhoud,10,2,
TOTAAL,100,20,
