Budget Master — Alle functies gecombineerd,,,,,
,,,,,
Leeffunctie,Investering (€),Maandkost (€),Jaarkost (€),Vaste kost/mnd (€),Variabele kost/mnd (€)
Kleding,1051,27.55,330.6,0,27.55
Slaap,699,11.27,135.24,0,11.27
Eten,306,170.48,2045.76,0,170.48
Hygiëne,234,37.22,446.64,0,37.22
Werk,3306,118.47,1421.64,57,61.47
Beweging & Sport,182,4.33,51.96,0,4.33
Mobiliteit,1449,102.23,1226.76,54,48.23
Wonen & Shelter,1204,874.17,10490.04,750,124.17
TOTAAL,8431,1345.72,16148.64,861,484.72
,,,,,
BENCHMARK,,,,,
Referentie,Bedrag/mnd (€),Toelichting,,,
Leefloon (OCMW) 2026,1058,Absolute wettelijke bodem — model overschrijdt dit,,,
Mediaaninkomen netto Vlaanderen 2026,2100,Model = 68% van mediaan netto,,,
Lightfoot Existenzminimum norm,1345.72,Dit model — inclusief huur + alle functies,,,
