LIGHTFOOT — PROJECT EXISTENZMINIMUM 2.0,,,,,,
Minimumleefmodel · Vlaamse context · Versie 2026-04-17,,,,,,
,,,,,,
Leeffunctie,# Items,Investering (€),Maandkost totaal (€),waarvan vaste kost (€),Afschr/mnd (€),Tijdslast (min/mnd)
Kleding,23,1051,27.55,0,27.55,100
Slaap,8,699,11.27,0,11.27,90
Eten,18,306,170.48,0,170.48,680
Hygiëne,11,234,37.22,0,37.22,750
Werk,10,3306,118.47,57,61.47,35
Beweging & Sport,8,182,4.33,0,4.33,370
Mobiliteit,9,1449,102.23,54,48.23,90
Wonen & Shelter,15,1204,874.17,750,124.17,300
TOTAAL,102,8431,1345.72,861,484.72,2415
,,,,,,
TOELICHTING KOLOMMEN,,,,,,
Kolom,Definitie,,,,,
Investering (€),Eenmalige aankoopkost van alle items in de functie.,,,,,
Maandkost totaal (€),Afschrijving + verbruiksgoederen + diensten + onderhoud.,,,,,
Waarvan vaste kost (€),"Huur, abonnementen — onvermijdelijk, onafhankelijk van gebruik.",,,,,
Tijdslast (min/mnd),Geschatte actieve beheertijd per maand (excl. werkelijk gebruik).,,,,,
