Tijdsbelasting — Overzicht beheer per functie,,,,
,,,,
Leeffunctie,min/maand,uur/maand,uur/jaar,Toelichting
Kleding,100,1.7,20.4,"Was, drogen, seizoenscheck"
Slaap,90,1.5,18,Lakens wassen + ophangen
Eten,680,11.3,135.6,"Inkopen + koken + afwas (actief gebruik, niet enkel beheer)"
Hygiëne,750,12.5,150,Dagelijkse routines (ochtend + avond + scheren)
Werk,35,0.6,7.2,"Updates, backup check, hardwarereiniging"
Beweging & Sport,370,6.2,74.4,Training 3×/week + wandelingen
Mobiliteit,90,1.5,18,Fietsonderhoud + OV-planning
Wonen & Shelter,300,5,60,Weekreiniging + maandtaken
TOTAAL,2415,40.2,483,
,,,,
"Noot: tijdsbelasting Eten en Hygiëne bevatten de actieve gebruikstijd,",,,,
"niet enkel onderhoud. Puur beheer (excl. koken, douchen) = ca. 40 uur/jaar.",,,,
