Budget — Mobiliteit (TCO-overzicht),,,
,,,
INVESTERING,,,
Post,Bedrag (€),,Toelichting
Fiets + accessoires (9 items),1449,,Eenmalige aankoopkost
Totaal investering,1449,,
,,,
MAANDELIJKSE KOST,,,
Kostenpost,Maandkost (€),Jaarkost (€),Toelichting
Afschrijving fiets + accessoires,13.32,159.84,Op basis van levensduur
De Lijn maandabonnement zone 2,54,648,Standaard stadszone
NMBS occasioneel (Go Pass 10),8.83,105.96,2 passen per jaar
Cambio gebruik (geschat),20,240,1-2 ritten per maand
Fietsonderhoud + verbruik,6.08,72.96,"Banden, ketting, service"
TOTAAL / MAAND,102.23,1226.76,
,,,
UITZONDERING: Eigen wagen (ruraal),,,
Voertuig,Prijs 2e hands (€),TCO / maand (€),
Toyota Yaris Hybrid,13500,520,Afschr + verz + brandstof + onderhoud
,,,
TIJDSBELASTING,,,
Activiteit,Tijd/maand (min),Tijd/jaar (u),
Fietsonderhoud eigen beheer,30,6,
OV-planning en wachttijden,60,12,
TOTAAL,90,18,
