Inventaris — Mobiliteit (standaard stadsscenario),,,,,,,
,,,,,,,
,,,,,,,
Item,Specificatie,Merk / Model (standaard),Qty,Prijs/stuk (€),Totaal (€),Levensduur,Afschr/mnd (€)
Stadsfiets,"8 versnellingen, dynamo, spatborden, drager",Gazelle Medeo T10 HMB,1,1099,1099,10 jaar,9.16
Fietsslot,"ART 4-ster, beugel + ketting",Abus Granit 460/150,1,75,75,5 jaar,1.25
Fietstassen (set),"Waterproof, 40L totaal, bagagedrager",Ortlieb Back-Roller City,1,130,130,10 jaar,1.08
Helm,"MIPS, CE EN 1078",Giro Register MIPS,1,55,55,5 jaar,0.92
Fietshandschoenen,"Touchscreen, winter + zomer set",Decathlon,2,12,24,2 jaar,1
Binnenband (reserve),"28"", Presta ventiel",Schwalbe,2,6,12,1 jaar,1
Lichtset (backup),USB oplaadbaar voor/achter,Knog Blinder,1,35,35,3 jaar,0.97
Regenoverschoenen,"Neopreen, maat universeel",Decathlon,1,15,15,4 jaar,0.31
Cambio lidmaatschap,Basisregistratie (geen maandkost),Cambio,1,10,10,10 jaar,0.08
TOTAAL,,,,,1455,,15.77
