Verbruiksgoederen — Mobiliteit,,,,,
,,,,,
Item,Eenheid,Qty / jaar,Prijs/eenheid (€),Jaarkost (€),Toelichting
Binnenband vervanging,stuk,2,8,16,Pech onderweg
Fietsband (buitenband),stuk,0.5,35,17.5,1× per 2 jaar
Fietsonderhoud (professioneel),beurt,1,45,45,Jaarlijkse servicebeurt
Ketting + smeermiddel,set,1,18,18,Ketting 1×/jaar vervangen
Remblokken,set,1,12,12,1× per jaar bij intensief gebruik
De Lijn maandabonnement (zone 2),maand,12,54,648,Standaard stadszone
NMBS Go Pass 10,pas,2,53,106,Occasioneel treingebruik
Cambio gebruik (geschat),maand,12,20,240,Gemiddeld 1-2 ritten/maand
TOTAAL JAAR,,,,1102.5,
TOTAAL / MAAND,,,,91.88,
