Budget — Slaap (TCO-overzicht),,,
,,,
INVESTERING,,,
Post,Bedrag (€),,Toelichting
Volledig slaapsysteem (8 items),699,,Eenmalige aankoopkost
Totaal investering,699,,
,,,
MAANDELIJKSE KOST,,,
Kostenpost,Maandkost (€),Jaarkost (€),Toelichting
Afschrijving slaapsysteem,8.35,100.2,Op basis van levensduur per item
Verbruiksgoederen (was),2.92,35.04,"Wasmiddel, verzachter, spray"
TOTAAL / MAAND,11.27,135.24,
,,,
TIJDSBELASTING,,,
Activiteit,Tijd/maand (min),Tijd/jaar (u),
Lakens wassen + ophangen,60,12,
Dekbedovertrek wassen,30,6,
Matrasbeschermer wassen,10,2,
Matras keren / luchten,5,1,
TOTAAL,105,21,
