Budget — Wonen (TCO-overzicht),,,
,,,
INVESTERING INBOEDEL,,,
Post,Bedrag (€),,Toelichting
Inboedel volledig (15 items),1204,,"Excl. bed, bureau, stoel (zie systeemfiles)"
Totaal investering inboedel,1204,,
,,,
MAANDELIJKSE KOST,,,
Kostenpost,Maandkost (€),Jaarkost (€),Toelichting
Huur (norm studio 30-35 m²),750,9000,Mediane huur middelgrote Vlaamse stad 2026
Elektriciteit (150-200 kWh),35,420,"EPC C, warmtepomp of gas CV"
Water + afvalwater,18,216,Gemiddeld verbruik 1 persoon
Woonverzekering (brand + diefstal),17,204,BA + brand + inbraak
Gemeenschappelijke kosten,40,480,"Liften, gang, tuinonderhoud indien van toepassing"
Afschrijving inboedel,8.92,107.04,Op basis van levensduur per item
Verbruiksgoederen (poetsen),5.25,63,Reinigingsmiddelen
TOTAAL / MAAND,874.17,10490.04,
,,,
TIJDSBELASTING,,,
Activiteit,Tijd/maand (min),Tijd/jaar (u),
Wekelijkse reiniging (4× 60 min),240,48,
"Maandelijkse taken (ramen, koelkast)",30,6,
Seizoensreiniging + beheer,30,6,
TOTAAL,300,60,
