"Inventaris — Inboedel (excl. bed en bureau, zie systeemfiles)",,,,,,,
,,,,,,,
,,,,,,,
Item,Specificatie,Merk / Model (standaard),Qty,Prijs/stuk (€),Totaal (€),Levensduur,Afschr/mnd (€)
Kledingrail + lades set,"Staal, 100cm + 2 laden",IKEA Aurdal,1,120,120,10 jaar,1
Boekenplank,"180×80cm, 5 niveaus, wit",IKEA Billy,1,60,60,10 jaar,0.5
Fauteuil / 2-zits sofa,"Stof, lichtgrijs, compact",IKEA Friheten of Koarp,1,250,250,10 jaar,2.08
Bijzettafel,"Ronde bijzettafel 50cm, bamboe",IKEA Svalsta,1,30,30,10 jaar,0.25
Vloerlamp,"LED, dimbaar, E27, zwart",IKEA Ranarp,1,40,40,10 jaar,0.33
Bureaulamp,"LED, dimbaar, USB-C, architectenlamp",IKEA Forsa,1,30,30,10 jaar,0.25
Multifunctionele kast,"180×80×40cm, 4-deurs",IKEA Brimnes,1,180,180,10 jaar,1.5
Badkamerkast klein,"Wandmontage, spiegel",IKEA Lillången,1,60,60,10 jaar,0.5
Douchegordijn + rail + ringen,"Waterbestendig, wit",IKEA Bjärsen,1,25,25,3 jaar,0.69
Vuilnisbakken set,20L + 5L gescheiden afval,Brabantia Sort & Go,1,40,40,10 jaar,0.33
Basisgereedschap set,"Hamer, schroevendraaiers, waterpas, boor",Bahco / Stanley kit,1,55,55,20 jaar,0.23
Stofzuiger,"Draadloos, HEPA, 30 min auton.",Dyson V8 Slim of Miele Triflex,1,199,199,7 jaar,2.37
Mopset (vloer),"Microvezel, 360° wasbaar",Leifheit Twist,1,35,35,4 jaar,0.73
Rookmelder + CO-melder,"10 jaar batterij, wettelijk vereist",FireAngel,2,20,40,10 jaar,0.33
Verdeelstekker (surge protected),"6-voudig, schakelbaar",Brennenstuhl,2,20,40,10 jaar,0.33
TOTAAL INBOEDEL,,,,,1204,,11.42
