Reinigingsritme — Studio 30 m²,,,,
,,,,
Zone,Taak,Frequentie,Duur (min),Materialen
Vloer volledig,Stofzuigen,Wekelijks,15,Stofzuiger
Vloer volledig,Dweilen / moppenf,Wekelijks,15,Mop + allesreiniger
Badkamer,Toilet + douche + wastafel,Wekelijks,20,"Toilet gel, kalkreiniger"
Keuken,Aanrecht + spoelbak + plaat,Wekelijks,10,Allesreiniger
Ramen + spiegels,Sprayen + afnemen,Maandelijks,15,Raamreiniger
Koelkast,Uitruimen + reinigen,Maandelijks,15,Allesreiniger
Stofzuiger leegmaken / filter,Leegmaken + filter reinigen,Maandelijks,10,-
Volledige woning dieptereiniging,"Alle hoeken, kasten, gordijnen",Seizoensmatig,120,Volledig pakket
Schimmelpreventie badkamer,Ventileren + anti-schimmel spray,Kwartaal,10,Schimmelspray
,,,,
Geschatte wekelijkse tijd: 60 min — maandelijkse tijdkost: 4-5 uur,,,,
