Verbruiksgoederen — Woning (poetsen + onderhoud),,,,,
,,,,,
Item,Eenheid,Qty / jaar,Prijs/eenheid (€),Jaarkost (€),Toelichting
Allesreiniger (geconcentreerd),fles 1L,3,4,12,"Vloer, aanrecht, badkamer"
Toiletreiniging gel,fles 750ml,4,2.5,10,Wekelijkse toilet
Schimmelverwijderaar (badkamer),spuitbus 500ml,2,5,10,Kwartaalonderhoud
Kalkreiniger (badkamer + keuken),fles 750ml,3,3.5,10.5,Maandelijks kalkaanslag
Microvezel doeken set,set 5 stuks,2,6,12,Vernieuwen 2× per jaar
Vuilniszakken (PMD + restafval),rol 20st,8,3,24,Wekelijks gebruik
Glas- en raamreiniger,spuitbus 750ml,2,3,6,Kwartaalramen
Boenwas / vloeronderhoud,fles 750ml,1,8,8,Jaarlijks parket/laminaat
Reservelamp LED E27,stuk,2,4,8,Vervanging bij uitval
TOTAAL JAAR,,,,100.5,
TOTAAL / MAAND,,,,8.38,
